experiment,description,batch_size,epochs,learning_rate,d_model,num_heads,num_encoder_layers,num_decoder_layers,d_ff,dropout,label_smoothing,patience,use_positional_encoding,use_multihead_attention,ablation_keys,best_val_loss,best_val_bleu,final_test_loss,final_test_bleu,final_test_bleu_1,final_test_bleu_2,final_test_bleu_3,final_test_bleu_4,warmup_ratio,activation,optimizer,position_encoding_type,norm_position,use_layer_norm
large_model_d_model_512_num_heads_16_d_ff_2048,较大的模型尺寸,256,30,0.001,512,16,6,6,2048,0.2,0.1,5,True,True,"['d_model', 'num_heads', 'd_ff']",2.8995712995529175,0.3410653432066825,3.1069009520790796,0.31519990037152373,0.7340112333480384,0.5705936612559088,0.426032297982427,0.31519990037152373,,,,,,
layers_3_num_encoder_layers_3_num_decoder_layers_3,减少编码器和解码器层数,256,30,0.001,256,8,3,3,1024,0.2,0.1,5,True,True,"['num_encoder_layers', 'num_decoder_layers']",2.9288485050201416,0.33151414373278465,3.089845809069547,0.3113901373177638,0.7328202153552072,0.5693637924115265,0.4236627229227996,0.3113901373177638,,,,,,
baseline,基准模型，使用默认参数,256,30,0.001,256,8,6,6,1024,0.2,0.1,5,True,True,,2.887921452522278,0.34842868237958935,3.0460111011158335,0.31643024527777464,0.7296807151516949,0.5693750277322683,0.42680665969422166,0.31643024527777464,,,,,,
small_model_d_model_128_num_heads_4_d_ff_512,较小的模型尺寸,256,30,0.001,128,4,6,6,512,0.2,0.1,5,True,True,"['d_model', 'num_heads', 'd_ff']",2.9726595878601074,0.30836348582863066,3.103522604162043,0.2757946787533183,0.7046326545601251,0.5360901128505844,0.38781950275081317,0.2757946787533183,,,,,,
dropout_0.1_dropout_0.1,较小的Dropout率,256,30,0.001,256,8,6,6,1024,0.1,0.1,5,True,True,['dropout'],2.9207934141159058,0.32986105952699196,3.1183507442474365,0.3025315094358341,0.7234587117415329,0.5579681819254394,0.412853043056208,0.3025315094358341,,,,,,
lr_2e-3_learning_rate_0.005,较大的学习率,256,30,0.005,256,8,6,6,1024,0.2,0.1,5,True,True,['learning_rate'],4.882024765014648,0.07566844872341628,4.969883355227384,0.07563547565770092,0.3749925442055994,0.22267189097273252,0.13007512547702094,0.07563547565770092,,,,,,
layers_9_num_encoder_layers_9_num_decoder_layers_9,增加编码器和解码器层数,256,30,0.001,256,8,9,9,1024,0.2,0.1,5,True,True,"['num_encoder_layers', 'num_decoder_layers']",2.894902467727661,0.35647623187199745,3.057631947777488,0.3247001860805771,0.7422018362480073,0.5797809277352134,0.4360911207279656,0.3247001860805771,,,,,,
dropout_0.3_dropout_0.3,较大的Dropout率,256,30,0.001,256,8,6,6,1024,0.3,0.1,5,True,True,['dropout'],2.88303542137146,0.3398987931785158,3.0184863697398794,0.31481148822703287,0.732412794824125,0.5703034886408453,0.4260464292585079,0.31481148822703287,,,,,,
label_smoothing_0.0_label_smoothing_0.0,无标签平滑,256,30,0.001,256,8,6,6,1024,0.2,0.0,5,True,True,['label_smoothing'],1.9687303304672241,0.34253897600203176,2.190324479883367,0.3086288196239169,0.7269062186654063,0.5647238818330301,0.4201323014442739,0.3086288196239169,,,,,,
label_smoothing_0.2_label_smoothing_0.2,较大的标签平滑系数,256,30,0.001,256,8,6,6,1024,0.2,0.2,5,True,True,['label_smoothing'],3.7022804021835327,0.35268734932736867,3.810089523142034,0.3100497623594976,0.7206799750916087,0.562944811320618,0.42055178970301105,0.3100497623594976,,,,,,
lr_5e-4_learning_rate_0.0002,较小的学习率,256,30,0.0002,256,8,6,6,1024,0.2,0.1,5,True,True,['learning_rate'],3.150473952293396,0.2466901031690615,3.293110955845226,0.23092649278421332,0.6571868937331233,0.486062329559209,0.3390035426275424,0.23092649278421332,,,,,,
