epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.190586963170011,0.10550887570687105,4.714148759841919,0.10690472730795805,4.799327200109309,0.10455475151636082,0.0
2,142,4.661200133847519,0.141103798087067,4.22084903717041,0.13787977156293524,4.312194520776922,0.13366803761380638,0.00046948356807511736
3,213,4.176038339104451,0.1626710927202351,3.833378553390503,0.1527920353360536,3.9354877688667993,0.1489543929321737,0.0009389671361502347
4,284,3.7581290459968675,0.2192370951807893,3.539910674095154,0.19308679590719088,3.6492848613045434,0.18086047155710328,0.001
5,355,3.392967096516784,0.27574791712840546,3.322564482688904,0.226528295603048,3.4431902928785845,0.20335429428218363,0.0009949316837804985
6,426,3.1131596195865683,0.3320007545067949,3.1929858922958374,0.23941033143595553,3.3122398419813677,0.22225493721684958,0.0009767275214425954
7,497,2.899653884726511,0.40221649332257525,3.1002167463302612,0.2686430162817924,3.2246773026206275,0.23790472835102403,0.0009698764640825614
8,568,2.722009769627746,0.4640311307486807,3.067440629005432,0.2682073836712741,3.1922507286071777,0.2530876986483616,0.0009457619741652951
9,639,2.5749512692572365,0.5194728775395431,3.038267135620117,0.2884211704958624,3.152391563762318,0.2594103868118992,0.0009028648202601651
10,710,2.4563463909525267,0.5818804017363871,3.0077760219573975,0.278805367503154,3.123972610993819,0.2742813491278885,0.000849185567198193
11,781,2.3513407304253375,0.6360489414634978,2.9950746297836304,0.29706717163256896,3.107432495463978,0.2799307485631335,0.0008432776981154326
12,852,2.2522995169733613,0.6977674324235807,2.9827805757522583,0.3044568941924122,3.0822536078366367,0.2843237635971561,0.0007861626484607278
13,923,2.1670697877104854,0.736785641730686,2.9741019010543823,0.3083866204168363,3.0800872282548384,0.28381991182410543,0.0007154848780910595
14,994,2.095626730314443,0.7863136417717775,2.967252016067505,0.30310316003958354,3.077157562429255,0.29435043664726046,0.0006983418431365589
15,1065,2.0256078008195044,0.8243630032581764,2.975218415260315,0.31131331526552336,3.057311686602506,0.295456452355369,0.0006390461958422144
16,1136,1.959752725883269,0.8646114747881076,2.949486255645752,0.3212709649300652,3.060132546858354,0.30372650368841314,0.0005588949156072729
17,1207,1.9065776055967305,0.8926572654314153,2.959117293357849,0.3200735427170719,3.0566412535580723,0.3027287270621103,0.00047717883711306504
18,1278,1.8562979127319765,0.9198641954203965,2.951576590538025,0.3252053833297777,3.0575984824787485,0.2998197934205832,0.0004714566579592174
19,1349,1.8073021475697908,0.9400075307284614,2.9500367641448975,0.33383359602476015,3.054406837983565,0.3062256290633727,0.0003960876917095215
20,1420,1.7649927038541982,0.9602629764926875,2.9484589099884033,0.3261349864494728,3.0525809851559726,0.30588051934660987,0.0003177944645247102
21,1491,1.7335203550231288,0.976404884853081,2.943813443183899,0.3327626404240028,3.0461865121668037,0.3123921992707293,0.0003026581568634412
22,1562,1.6954362308475333,0.987480348791661,2.9340083599090576,0.3345366084882974,3.0479962825775146,0.31091822121120366,0.0002443971653654273
23,1633,1.6690743053463144,0.9944539596405607,2.9294276237487793,0.32960044581661213,3.03810733014887,0.3120186657985576,0.000177862608718258
24,1704,1.6456825095163266,1.0023624182415578,2.9346686601638794,0.3396002167737664,3.044691562652588,0.3107763690892507,0.00011997370936850225
25,1775,1.6285507410344944,1.0068242868221693,2.936417579650879,0.3353242772934425,3.043626806952737,0.31227227635211424,0.00011786080066207055
26,1846,1.6157789196766599,1.010438106850152,2.93046498298645,0.3403426463424737,3.040386351672086,0.314625969269183,7.228170594697723e-05
27,1917,1.6043670211039798,1.0113692399393235,2.929207921028137,0.3366531481008679,3.036941549994729,0.31247000810315717,3.606459266189157e-05
28,1988,1.59879336894398,1.0132392365802911,2.926274299621582,0.3394835805814223,3.0343820831992407,0.3125976884130077,3.11235359174388e-05
29,2059,1.5934948887623532,1.013140278866489,2.9252142906188965,0.3414915720361056,3.032881433313543,0.31241138784832023,1.2292873113341192e-05
30,2130,1.591784740837527,1.013498171867559,2.924901843070984,0.3407492943146345,3.0326579267328437,0.31279242728685314,1.603553879424371e-06
