epoch,step,train_loss,train_bleu,val_loss,val_bleu,test_loss,test_bleu,learning_rate
1,71,6.041447955118099,0.0887238397501146,4.6764702796936035,0.08802143894820882,4.773684805089777,0.08800247532145795,0.0
2,142,4.551477653879515,0.1395646522010517,4.140506029129028,0.13181271444286294,4.246510072187944,0.13345628145691246,0.00046948356807511736
3,213,4.0238408505077095,0.19220820206765812,3.768131732940674,0.1742676149153062,3.856022661382502,0.17119173785871566,0.0009389671361502347
4,284,3.5869942819568474,0.24089451221544061,3.4445784091949463,0.2091213690878314,3.566364786841653,0.19365566917398938,0.001
5,355,3.204540531400224,0.3071420972577291,3.278322458267212,0.24463738860086603,3.3947830850427803,0.21572897607820515,0.0009949316837804985
6,426,2.9209645331745415,0.38467361145924456,3.2028563022613525,0.24952548828724994,3.3100479299371894,0.2411240601747991,0.0009767275214425954
7,497,2.710853613598246,0.4636152145722915,3.1184455156326294,0.27735190860715087,3.2231524857607754,0.25101553440703367,0.0009698764640825614
8,568,2.5375734853072904,0.5295481993717293,3.0776243209838867,0.27854251375189587,3.1994075124913994,0.25723249373433676,0.0009457619741652951
9,639,2.388515620164468,0.6057268152168952,3.091676712036133,0.2896092098987909,3.201834873719649,0.269154927225251,0.0009028648202601651
10,710,2.2626345929965166,0.6660589315473348,3.041034698486328,0.3033102569091415,3.1616629253734243,0.2774214500605648,0.000849185567198193
11,781,2.1554689944629937,0.7426103755492676,3.0468403100967407,0.30869959646556167,3.166990887035023,0.2826200164595852,0.0008432776981154326
12,852,2.0619483766421465,0.789346347810046,3.056083917617798,0.3098260831373245,3.199342272498391,0.28427066966346937,0.0007861626484607278
13,923,1.9784954517660007,0.8464492816609712,3.0888290405273438,0.3133240810377313,3.195284756747159,0.28765809782119417,0.0007154848780910595
14,994,1.9075944625156027,0.8870050289696193,3.069527745246887,0.31587261131280603,3.186751062219793,0.293569830811194,0.0006983418431365589
15,1065,1.8491642659818623,0.9211610753145417,3.051600217819214,0.3263772833531281,3.2001418633894487,0.29336248724670605,0.0006390461958422144
